,temporada,jornada,fecha,hora,estadio,local,visit,local_goals,visit_goals,minutos_local,minutos_visit,goles_local,goles_visit,tiros_gol_local,tiros_gol_visit,tiros_esquina_local,tiros_esquina_visit,cambios_local,cambios_visit,fuera_lugar_local,fuera_lugar_visit,amarilla_local,amarilla_visit,roja_local,roja_visit
110,Torneo de Apertura / Temporada 2024-2025,13,"Domingo, 29 de Septiembre de 2024",19:06 hrs.,Estadio AKRON,Guadalajara,Tigres,1,1,[86],[75],1.0,1.0,5.048780487804878,9.121951219512194,2.024390243902439,5.048780487804878,5.048780487804878,5.048780487804878,2.024390243902439,1.0,3.024390243902439,2.024390243902439,0.0,0.0
111,Torneo de Apertura / Temporada 2024-2025,13,"Domingo, 29 de Septiembre de 2024",20:00 hrs. - 21:00 HC.,Caliente,Club Tijuana,América,1,4,[59],"[13, 17, 34, 36]",1.0,3.9574468085106385,7.936170212765958,4.957446808510639,2.9787234042553195,4.957446808510639,4.957446808510639,4.957446808510639,1.9787234042553192,2.9787234042553195,1.0,1.0,0.0,0.0
112,Torneo de Apertura / Temporada 2024-2025,13,"Lunes, 30 de Septiembre de 2024",17:00 hrs.,Cuauhtémoc,Puebla F.C.,Querétaro,0,1,[],[45],0.0,1.0,4.016129032258065,4.016129032258065,6.016129032258065,2.0,3.0161290322580645,4.016129032258065,6.016129032258065,4.016129032258065,2.0,0.0,0.0,0.0
113,Torneo de Apertura / Temporada 2024-2025,13,"Lunes, 30 de Septiembre de 2024",17:00 hrs.,Alfonso Lastras Ramírez,Atlético de San Luis,FC Juárez,2,3,"[80, 22]","[42, 48, 89]",2.0,3.0,4.0,4.0,1.0,11.032258064516128,5.000000000000001,5.000000000000001,0.0,2.0,2.0,2.0,0.0,0.0
114,Torneo de Apertura / Temporada 2024-2025,13,"Lunes, 30 de Septiembre de 2024",18:00 hrs.,Nemesio Diez,Toluca,Pachuca,1,3,[14],"[51, 69, 72]",1.0,3.0188679245283017,3.0188679245283017,7.0566037735849045,4.018867924528301,3.0188679245283017,5.018867924528301,4.018867924528301,1.0,5.018867924528301,1.0,2.0188679245283017,0.0,0.0
115,Torneo de Apertura / Temporada 2024-2025,13,"Lunes, 30 de Septiembre de 2024",20:00 hrs.,Estadio BBVA,Rayadas,Mazatlán FC,6,1,"[28, 40, 52, 56, 60, 83]",[45],6.0,0.9973190348525468,5.002680965147452,2.9919571045576405,5.002680965147452,2.9919571045576405,5.002680965147452,2.9919571045576405,5.002680965147452,0.0,0.9973190348525468,0.0,0.0,0.0
116,Torneo de Apertura / Temporada 2024-2025,13,"Miercoles, 2 de Octubre de 2024",19:06 hrs.,Nou Camp,León,Necaxa,1,0,[75],[],1.0,0.0,7.054054054054054,0.0,10.081081081081082,2.027027027027027,5.054054054054054,4.027027027027027,1.0,4.027027027027027,1.0,5.027027027027027,0.0,0.0
117,Torneo de Apertura / Temporada 2024-2025,3,"Jueves, 3 de Octubre de 2024",21:00 hrs.,Estadio BBVA,Rayadas,Santos Laguna,4,1,"[7, 38, 82, 90]",[64],4.0,0.9879518072289155,8.987951807228916,1.9999999999999998,4.0,6.0,4.9879518072289155,2.987951807228915,1.9999999999999998,0.0,0.9879518072289155,0.9879518072289155,0.0,0.0
118,Torneo de Apertura / Temporada 2024-2025,14,"Viernes, 4 de Octubre de 2024",17:00 hrs.,La Corregidora,Querétaro,Atlas,1,1,[17],[90],1.0,1.0,4.925925925925926,2.962962962962963,1.962962962962963,13.85185185185185,3.962962962962963,3.962962962962963,2.962962962962963,1.0,2.962962962962963,1.0,0.0,0.0
119,Torneo de Apertura / Temporada 2024-2025,14,"Sábado, 5 de Octubre de 2024",17:30 hrs.,Olímpico Benito Juárez,FC Juárez,Toluca,2,1,"[29, 90]",[74],2.0,1.0,6.016129032258065,2.0,6.016129032258065,5.016129032258065,4.016129032258065,4.016129032258065,4.016129032258065,3.0,3.0161290322580645,4.016129032258065,0.0,0.0
120,Torneo de Apertura / Temporada 2024-2025,14,"Sábado, 5 de Octubre de 2024",20:10 hrs. - 21:10 HC.,El Encanto,Mazatlán FC,Pumas,2,1,"[16, 78]",[45],2.0,1.010752688172043,6.021505376344086,7.010752688172043,3.010752688172043,8.043010752688172,3.010752688172043,4.0,4.021505376344086,3.010752688172043,2.0,1.010752688172043,1.010752688172043,1.010752688172043
121,Torneo de Apertura / Temporada 2024-2025,14,"Domingo, 6 de Octubre de 2024",12:00 hrs.,Instalaciones la Noria Cancha 1,Cruz Azul,Puebla F.C.,3,0,"[45, 72, 77]",[],3.0,0.0,4.992857142857143,0.0,7.992857142857143,6.985714285714286,3.0,3.9857142857142858,1.9928571428571429,1.0071428571428571,0.0,1.9928571428571429,0.0,0.0
122,Torneo de Apertura / Temporada 2024-2025,14,"Domingo, 6 de Octubre de 2024",18:00 hrs.,Jalisco,Guadalajara,Club Tijuana,3,1,"[32, 63, 69]",[80],3.0,0.99375,3.99375,7.012499999999999,0.99375,4.9875,4.9875,4.9875,0.99375,0.99375,2.0062499999999996,3.0,0.0,0.0
123,Torneo de Apertura / Temporada 2024-2025,14,"Domingo, 6 de Octubre de 2024",20:06 hrs.,Universitario,Tigres,América,0,1,[],[83],0.0,1.0,4.018867924528301,4.018867924528301,7.037735849056602,5.018867924528301,3.0188679245283017,5.018867924528301,0.0,1.0,3.0188679245283017,1.0,0.0,0.0
124,Torneo de Apertura / Temporada 2024-2025,14,"Lunes, 7 de Octubre de 2024",17:00 hrs.,Alfonso Lastras Ramírez,Atlético de San Luis,León,2,2,"[46, 82]","[18, 36]",2.0,2.0,4.97196261682243,4.97196261682243,6.97196261682243,4.97196261682243,4.97196261682243,4.97196261682243,2.990654205607477,0.0,2.0,0.9906542056074767,0.0,0.0
125,Torneo de Apertura / Temporada 2024-2025,14,"Lunes, 7 de Octubre de 2024",19:06 hrs.,Hidalgo,Pachuca,Rayadas,0,0,[],[],0.0,0.0,11.241379310344827,3.206896551724138,12.862068965517242,6.413793103448276,4.827586206896552,8.03448275862069,3.206896551724138,0.0,1.6206896551724137,3.206896551724138,0.0,1.6206896551724137
126,Torneo de Apertura / Temporada 2024-2025,12,"Jueves, 10 de Octubre de 2024",20:10 hrs. - 21:10 HC.,El Encanto,Mazatlán FC,Club Tijuana,1,3,[63],"[14, 50, 84]",1.0,3.024390243902439,4.048780487804878,7.073170731707317,9.097560975609756,2.024390243902439,3.024390243902439,5.048780487804878,0.0,4.048780487804878,2.024390243902439,1.0,0.0,0.0
127,Torneo de Apertura / Temporada 2024-2025,15,"Viernes, 11 de Octubre de 2024",19:06 hrs.,Universitario,Tigres,Querétaro,5,3,"[4, 35, 39, 42, 45]","[26, 45, 72]",5.0,3.004291845493562,6.008583690987124,1.0085836909871244,8.004291845493562,3.004291845493562,5.0,3.9914163090128754,1.0085836909871244,0.0,4.012875536480687,1.9957081545064377,0.0,0.0
128,Torneo de Apertura / Temporada 2024-2025,15,"Viernes, 11 de Octubre de 2024",21:00 hrs.,Jalisco,Atlas,Guadalajara,1,5,[37],"[41, 45, 64, 76, 89]",1.0,5.018867924528301,3.0188679245283017,3.0188679245283017,7.037735849056602,1.0,5.018867924528301,5.018867924528301,1.0,5.018867924528301,0.0,1.0,0.0,0.0
129,Torneo de Apertura / Temporada 2024-2025,15,"Sábado, 12 de Octubre de 2024",12:00 hrs.,Instalaciones Metepec Cancha 2 ,Toluca,Cruz Azul,3,1,"[4, 30, 56]",[27],3.0,0.9910714285714285,9.991071428571429,3.0,6.991071428571429,4.982142857142857,6.0,6.0,6.0,2.0089285714285716,3.0,0.0,0.0,0.0
