temporada,jornada,fecha,hora,estadio,local,visit,local_goals,visit_goals,minutos_local,minutos_visit,goles_local,goles_visit,tiros_gol_local,tiros_gol_visit,tiros_esquina_local,tiros_esquina_visit,cambios_local,cambios_visit,fuera_lugar_local,fuera_lugar_visit,amarilla_local,amarilla_visit,roja_local,roja_visit
Torneo de Clausura / Temporada 2024-2025,2,"Viernes, 10 de Enero de 2025",17:00 hrs.,Ciudad De Los Deportes,América,Querétaro,7,0,"[1, 9, 12, 30, 37, 60, 64]",[],7.344827586206897,0.0,11.03448275862069,0.0,12.862068965517242,0.0,9.172413793103448,9.172413793103448,3.689655172413793,0.0,1.8275862068965518,3.689655172413793,0.0,1.8275862068965518
Torneo de Clausura / Temporada 2024-2025,2,"Sábado, 11 de Enero de 2025",17:00 hrs.,Nou Camp,León,Atlético de San Luis,0,1,[],[71],0.0,2.586206896551724,10.275862068965518,2.586206896551724,12.862068965517242,7.724137931034483,10.275862068965518,7.724137931034483,2.586206896551724,2.586206896551724,2.586206896551724,0.0,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,2,"Domingo, 12 de Enero de 2025",12:00 hrs.,Cuauhtémoc,Puebla F.C.,Tigres,0,3,[],"[27, 50, 51]",0.0,4.827586206896552,1.6206896551724137,12.89655172413793,3.206896551724138,8.03448275862069,8.03448275862069,8.03448275862069,1.6206896551724137,8.03448275862069,0.0,1.6206896551724137,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,2,"Domingo, 12 de Enero de 2025",15:45 hrs.,Instalaciones la Noria Cancha 1,Cruz Azul,Club Tijuana,1,1,[56],[1],1.2758620689655173,1.2758620689655173,9.0,2.586206896551724,12.862068965517242,1.2758620689655173,6.448275862068965,6.413793103448276,3.8620689655172415,3.8620689655172415,0.0,5.137931034482759,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,2,"Domingo, 12 de Enero de 2025",17:00 hrs. - 18:00 HC.,Olímpico Benito Juárez,FC Juárez,Necaxa,1,0,[60],[],1.6206896551724137,0.0,11.241379310344827,3.206896551724138,12.862068965517242,1.6206896551724137,8.03448275862069,8.03448275862069,0.0,0.0,4.827586206896552,3.206896551724138,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,3,"Martes, 14 de Enero de 2025",17:00 hrs.,Olímpico Universitario,Pumas,Santos Laguna,6,1,"[2, 11, 21, 45, 54, 69]",[80],12.862068965517242,2.1379310344827585,8.586206896551724,10.724137931034482,6.448275862068965,8.586206896551724,10.724137931034482,10.724137931034482,6.448275862068965,4.275862068965517,2.1379310344827585,4.275862068965517,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,3,"Miercoles, 15 de Enero de 2025",15:45 hrs.,Hidalgo,Pachuca,Cruz Azul,2,2,"[33, 46]","[45, 69]",3.689655172413793,3.689655172413793,9.172413793103448,12.89655172413793,9.172413793103448,9.172413793103448,1.8275862068965518,5.517241379310345,0.0,0.0,3.689655172413793,1.8275862068965518,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,3,"Miercoles, 15 de Enero de 2025",18:00 hrs.,Alfonso Lastras Ramírez,Atlético de San Luis,Rayadas,1,0,[19],[],2.1379310344827585,0.0,6.448275862068965,6.413793103448276,6.448275862068965,10.724137931034482,10.724137931034482,10.724137931034482,0.0,2.1379310344827585,12.862068965517242,0.0,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,3,"Miercoles, 15 de Enero de 2025",19:00 hrs.,Cuauhtémoc,Puebla F.C.,León,1,2,[14],"[48, 60]",1.0689655172413792,2.1379310344827585,5.344827586206897,11.793103448275861,1.0689655172413792,11.793103448275861,4.275862068965517,5.344827586206897,1.0689655172413792,1.0689655172413792,1.0689655172413792,2.1379310344827585,1.0689655172413792,0.0
Torneo de Clausura / Temporada 2024-2025,3,"Miercoles, 15 de Enero de 2025",20:00 hrs.,La Corregidora,Querétaro,Mazatlán FC,3,1,"[20, 64, 75]",[53],6.448275862068965,2.1379310344827585,12.862068965517242,10.724137931034482,0.0,6.413793103448276,8.586206896551724,2.1379310344827585,4.275862068965517,6.413793103448276,6.448275862068965,4.275862068965517,4.275862068965517,0.0
