,temporada,jornada,fecha,hora,estadio,local,visit,local_goals,visit_goals,minutos_local,minutos_visit,goles_local,goles_visit,tiros_gol_local,tiros_gol_visit,tiros_esquina_local,tiros_esquina_visit,cambios_local,cambios_visit,fuera_lugar_local,fuera_lugar_visit,amarilla_local,amarilla_visit,roja_local,roja_visit
115,Torneo de Clausura / Temporada 2024-2025,13,"Martes, 18 de Marzo de 2025",19:00 hrs.,Jalisco,Atlas,Querétaro,1,0,[65],[],1.0,0.0,7.0,1.0,4.0,3.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,1.0
116,Torneo de Clausura / Temporada 2024-2025,13,"Martes, 18 de Marzo de 2025",21:00 hrs.,TSM Corona,Santos Laguna,Rayadas,1,3,[85],"[21, 50, 63]",1.0,3.0,5.0,10.0,1.0,4.0,4.0,5.0,2.0,2.0,3.0,1.0,0.0,0.0
117,Torneo de Clausura / Temporada 2024-2025,14,"Jueves, 20 de Marzo de 2025",19:00 hrs.,Hidalgo,Pachuca,Toluca,2,3,"[65, 79]","[12, 19, 61]",2.0,3.0,11.0,2.0,5.0,1.0,2.0,3.0,4.0,3.0,2.0,3.0,0.0,1.0
118,Torneo de Clausura / Temporada 2024-2025,14,"Viernes, 21 de Marzo de 2025",20:00 hrs. - 21:00 HC.,Caliente,Club Tijuana,Mazatlán FC,1,1,[90],[9],1.0,1.0,4.0,6.0,8.0,8.0,5.0,2.0,7.0,0.0,2.0,0.0,2.0,0.0
119,Torneo de Clausura / Temporada 2024-2025,14,"Sábado, 22 de Marzo de 2025",15:45 hrs.,Instalaciones la Noria Cancha 1,Cruz Azul,León,1,2,[29],"[53, 73]",1.0,2.0,7.0,7.0,7.0,1.0,2.0,4.0,3.0,3.0,5.0,7.0,2.0,0.0
120,Torneo de Clausura / Temporada 2024-2025,14,"Sábado, 22 de Marzo de 2025",18:00 hrs.,Victoria,Necaxa,Atlético de San Luis,3,0,"[33, 52, 80]",[],3.0,0.0,3.0,11.0,1.0,4.0,5.0,4.0,0.0,1.0,3.0,3.0,0.0,0.0
121,Torneo de Clausura / Temporada 2024-2025,14,"Sábado, 22 de Marzo de 2025",20:10 hrs.,Ciudad De Los Deportes,América,Tigres,2,1,"[18, 64]",[13],2.0,1.0,7.0,7.0,8.0,2.0,3.0,2.0,0.0,3.0,3.0,4.0,1.0,1.0
122,Torneo de Clausura / Temporada 2024-2025,14,"Domingo, 23 de Marzo de 2025",12:00 hrs.,Cuauhtémoc,Puebla F.C.,Santos Laguna,2,1,"[4, 50]",[8],2.0,1.0,3.0,9.0,3.0,4.0,4.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0
123,Torneo de Clausura / Temporada 2024-2025,14,"Domingo, 23 de Marzo de 2025",16:00 hrs.,Verde Valle,Guadalajara,Atlas,2,0,"[33, 78]",[],2.0,0.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0
124,Torneo de Clausura / Temporada 2024-2025,14,"Lunes, 24 de Marzo de 2025",15:45 hrs.,CEGAR Cancha 1,Querétaro,Pumas,2,2,"[46, 87]","[90, 85]",2.0,2.0,9.0,2.0,2.0,1.0,5.0,5.0,1.0,2.0,3.0,6.0,0.0,0.0
125,Torneo de Clausura / Temporada 2024-2025,15,"Lunes, 24 de Marzo de 2025",18:05 hrs. - 19:05 HC.,Caliente,Club Tijuana,Pachuca,0,0,[],[],0.0,0.0,5.0,8.0,4.0,3.0,4.0,3.0,9.0,2.0,0.0,1.0,0.0,0.0
126,Torneo de Clausura / Temporada 2024-2025,14,"Lunes, 24 de Marzo de 2025",20:00 hrs.,Estadio BBVA,Rayadas,FC Juárez,2,1,"[64, 90]",[23],2.0,1.0,8.0,3.0,6.0,1.0,5.0,5.0,0.0,2.0,2.0,4.0,0.0,0.0
127,Torneo de Clausura / Temporada 2024-2025,15,"Viernes, 28 de Marzo de 2025",15:45 hrs.,Instalaciones la Noria Cancha 1,Cruz Azul,Querétaro,0,0,[],[],0.0,0.0,6.0,8.0,9.0,2.0,2.0,5.0,2.0,3.0,1.0,1.0,0.0,0.0
128,Torneo de Clausura / Temporada 2024-2025,15,"Viernes, 28 de Marzo de 2025",17:00 hrs. - 18:00 HC.,El Encanto,Mazatlán FC,Necaxa,3,1,"[3, 64, 70]",[42],3.0,1.0,4.0,6.0,3.0,4.0,3.0,5.0,1.0,2.0,3.0,1.0,0.0,0.0
129,Torneo de Clausura / Temporada 2024-2025,15,"Viernes, 28 de Marzo de 2025",20:00 hrs.,TSM Corona,Santos Laguna,América,0,3,[],"[34, 68, 71]",0.0,3.0,1.0,6.0,4.0,16.0,4.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0
130,Torneo de Clausura / Temporada 2024-2025,15,"Sábado, 29 de Marzo de 2025",17:00 hrs.,Nou Camp,León,Pumas,2,3,"[90, 90]","[24, 41, 77]",2.0,3.0,9.0,3.0,14.0,3.0,4.0,4.0,5.0,1.0,1.0,2.0,0.0,1.0
